Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
10,42.67,47.41,INF,INF,INF,37.93,254.73,INF,INF,34.13,,INF,INF,INF,INF,45.51,INF,INF,INF,INF,409.60,102.40,INF,INF,INF,INF,INF,INF,34.13,INF,INF,91.76,INF,34.13,INF,INF,INF,INF,INF,INF,INF,61.44,INF,INF,INF,INF,34.13,INF,INF,INF
11,INF,INF,INF,407.56,47.41,INF,INF,INF,INF,INF,INF,,INF,INF,INF,793.80,INF,INF,42.67,INF,INF,68.27,INF,86.29,34.13,INF,INF,INF,INF,INF,48.76,INF,INF,INF,48.76,INF,INF,INF,204.80,INF,INF,96.97,216.34,INF,42.67,204.80,INF,INF,INF,INF
12,INF,INF,INF,INF,INF,INF,INF,INF,64.65,INF,INF,INF,,42.67,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,34.13,INF,INF,INF,INF,INF,127.36,INF,INF,INF,INF,58.18,INF,51.20,INF,INF,INF,42.14,INF,INF,INF,INF,INF,INF
13,550.54,INF,INF,INF,INF,INF,INF,INF,68.27,INF,INF,INF,42.67,,INF,INF,51.03,INF,INF,INF,37.93,INF,INF,INF,INF,INF,34.13,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,47.94,INF,INF,INF,84.91,INF,INF,INF,INF,INF,INF
14,INF,INF,INF,INF,INF,INF,INF,INF,37.93,INF,INF,INF,INF,INF,,INF,INF,37.93,INF,34.13,INF,INF,INF,INF,INF,INF,INF,INF,INF,55.41,INF,INF,INF,INF,INF,43.64,INF,68.27,INF,34.13,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
15,INF,INF,INF,INF,INF,INF,INF,INF,INF,47.41,56.89,INF,INF,INF,INF,,INF,INF,48.62,INF,INF,34.13,INF,109.40,INF,INF,INF,INF,37.93,INF,INF,INF,INF,INF,48.62,INF,INF,INF,INF,INF,INF,34.13,INF,INF,INF,INF,136.53,INF,INF,INF
16,INF,INF,INF,INF,775.76,INF,INF,INF,INF,INF,INF,INF,218.80,48.62,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,75.85,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,273.07,INF,INF,INF,INF,INF,INF
17,INF,INF,INF,INF,INF,INF,INF,INF,42.61,INF,INF,INF,INF,INF,37.93,INF,INF,,INF,45.51,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,41.12,INF,INF,341.33,INF,37.93,INF,47.41,INF,INF,INF,INF,INF,INF,INF,INF,182.04,INF
18,INF,INF,170.67,48.76,227.56,INF,INF,INF,INF,INF,INF,43.76,INF,INF,INF,47.41,INF,INF,,INF,INF,63.92,INF,34.13,37.93,56.89,INF,INF,INF,INF,54.70,INF,INF,INF,34.13,INF,INF,INF,INF,INF,INF,43.10,INF,INF,42.61,INF,INF,INF,INF,INF
19,INF,INF,INF,INF,INF,INF,INF,INF,65.02,INF,INF,INF,INF,INF,34.13,INF,INF,42.67,INF,,61.44,INF,INF,INF,INF,INF,INF,INF,INF,48.62,INF,INF,INF,INF,INF,38.40,INF,INF,INF,34.13,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
20,0.53,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.71,INF,INF,0.53,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,0.64,INF,INF,INF,1.07,INF,0.64,INF,INF,INF,INF,INF,0.96,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
21,INF,INF,INF,INF,INF,INF,INF,INF,INF,97.52,132.99,75.85,INF,INF,INF,34.13,INF,INF,57.31,INF,INF,,INF,238.93,198.45,INF,INF,INF,71.97,INF,INF,INF,INF,INF,81.27,INF,INF,INF,INF,INF,INF,34.13,INF,INF,362.02,INF,409.60,INF,INF,INF
22,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,68.27,INF,INF,INF,37.93,103.43,INF,INF,INF,INF,INF,INF,INF,INF,INF,34.13,54.70,42.67
23,INF,INF,102.40,65.02,INF,INF,INF,INF,INF,INF,INF,86.20,INF,INF,INF,106.67,INF,INF,34.13,INF,INF,294.25,INF,,54.70,62.52,INF,INF,INF,INF,129.29,INF,INF,INF,34.13,INF,INF,INF,INF,INF,INF,179.65,INF,INF,172.39,INF,INF,INF,INF,INF
24,INF,INF,INF,317.52,63.21,INF,INF,INF,INF,INF,INF,34.13,INF,INF,INF,1706.67,INF,INF,37.93,INF,INF,224.56,INF,53.33,,INF,INF,INF,INF,INF,42.67,INF,INF,INF,48.76,INF,INF,INF,152.84,INF,INF,91.76,682.67,INF,42.67,310.30,INF,INF,INF,INF
25,INF,INF,34.13,38.35,INF,INF,INF,42.61,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,56.89,INF,INF,INF,INF,60.95,INF,,INF,INF,INF,INF,76.19,INF,INF,INF,162.54,INF,INF,INF,INF,INF,INF,INF,INF,INF,103.43,INF,INF,INF,INF,INF
26,INF,INF,INF,INF,136.53,INF,INF,INF,56.89,INF,INF,INF,34.13,37.93,INF,INF,68.27,INF,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,48.76,INF,INF,INF,INF,34.13,INF,INF,91.02,INF,364.09,37.93,INF,204.80,INF,INF,INF,341.33
27,54.18,54.86,INF,INF,INF,106.67,55.41,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,50.95,INF,INF,INF,INF,INF,INF,,INF,102.40,INF,54.79,INF,54.18,INF,INF,INF,INF,INF,349.09,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
28,95.57,84.91,INF,INF,INF,37.93,INF,INF,INF,38.35,34.13,INF,INF,INF,INF,37.93,INF,INF,INF,INF,INF,74.85,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,307.20,INF,INF,INF,INF,INF,INF,INF,50.95,INF,INF,INF,INF,34.13,INF,INF,INF
