Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
40,INF,INF,INF,6.12,1.40,INF,INF,3.06,INF,INF,INF,4.99,3.79,INF,INF,INF,INF,INF,INF,INF,INF,INF,4.27,INF,15.17,INF,1.13,INF,INF,INF,3.06,INF,1.53,INF,INF,INF,INF,4.05,0.53,INF,,INF,0.48,0.60,1.02,0.43,INF,INF,INF,0.43
41,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.41,4.27,29.94,INF,INF,INF,3.79,INF,INF,14.59,INF,INF,3.79,INF,5.47,12.39,INF,INF,INF,6.83,INF,INF,INF,INF,INF,4.26,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,4.31,INF,INF,INF
42,INF,INF,INF,609.52,142.22,INF,INF,94.81,INF,INF,INF,258.59,409.60,INF,INF,INF,341.33,INF,INF,INF,INF,INF,INF,341.33,193.94,INF,379.26,INF,INF,INF,94.81,INF,INF,INF,INF,INF,INF,INF,60.95,INF,42.14,INF,,81.27,81.27,37.93,INF,INF,INF,53.33
43,INF,INF,INF,INF,413.74,INF,INF,INF,56.89,INF,INF,INF,54.70,75.85,INF,INF,387.88,362.02,INF,INF,INF,INF,317.52,INF,INF,INF,38.79,INF,INF,INF,INF,INF,39.69,INF,INF,INF,INF,39.69,INF,INF,55.41,INF,80.13,,INF,110.11,INF,INF,INF,114.63
44,INF,INF,84.91,437.61,142.22,INF,INF,72.78,INF,INF,INF,145.87,INF,INF,INF,INF,INF,INF,229.25,INF,INF,INF,INF,49.78,109.40,86.54,INF,INF,INF,INF,42.61,INF,INF,INF,62.52,INF,INF,INF,113.78,INF,101.59,INF,84.91,INF,,87.07,INF,INF,INF,1365.33
45,INF,INF,INF,550.54,126.42,INF,INF,55.41,INF,INF,INF,227.56,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,682.67,INF,299.42,INF,INF,INF,71.11,INF,INF,INF,INF,INF,INF,INF,42.67,INF,37.93,INF,37.93,97.52,75.85,,INF,INF,INF,34.13
46,42.14,34.13,INF,INF,INF,34.13,42.67,INF,INF,42.67,34.13,INF,INF,INF,INF,79.64,INF,INF,INF,INF,INF,47.41,INF,INF,INF,INF,INF,199.61,34.13,INF,INF,54.79,INF,54.18,INF,INF,INF,INF,INF,INF,INF,47.94,INF,INF,INF,INF,,INF,INF,INF
47,INF,INF,INF,INF,INF,INF,INF,INF,304.76,INF,INF,INF,INF,INF,INF,INF,INF,159.29,INF,INF,INF,INF,42.14,INF,INF,INF,INF,INF,INF,INF,INF,INF,50.57,INF,INF,INF,38.35,43.76,INF,INF,INF,INF,INF,INF,INF,INF,INF,,42.61,INF
48,INF,INF,INF,INF,INF,INF,INF,INF,114.93,INF,INF,INF,INF,INF,413.74,INF,INF,77.58,INF,INF,INF,INF,42.14,INF,INF,INF,INF,INF,INF,INF,INF,INF,50.57,INF,INF,INF,45.36,48.76,INF,INF,INF,INF,INF,INF,INF,INF,INF,42.14,,INF
49,INF,INF,INF,2844.44,189.63,INF,INF,517.17,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,317.52,INF,INF,INF,INF,INF,INF,INF,INF,INF,91.02,INF,INF,INF,INF,INF,53.33,INF,37.93,INF,54.70,110.82,948.15,34.13,INF,INF,INF,
